# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-06-16  13:49 jjl     template, 5.2 switches
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
  7.29937E-02   9.24384E+19   5.96111E-01   5.94625E-01   4.63177E+05   1.42022E+05   3.21154E+05   7.28259E+04   6.91964E+04   5.02919E+04   9.17304E+04   5.63283E+03   6.71931E+04   4.25356E-02   2.51072E+00  -2.83341E+00   2.02270E+06   2.33855E+06   1.18715E+05   5.51677E+01   1.34500E+01
  8.77923E-02   4.52343E+19   5.81002E-01   5.94450E-01   4.07210E+05   8.81792E+04   3.19031E+05   3.54833E+04   5.26959E+04   3.77395E+04   5.04397E+04   3.72981E+03   3.17534E+04   5.11484E-02   2.50578E+00  -2.81946E+00   1.05093E+06   1.20982E+06   6.10836E+04   5.34280E+01   1.25380E+01
  1.03450E-01   2.04890E+19   5.66248E-01   5.83938E-01   3.78297E+05   6.27915E+04   3.15506E+05   1.62255E+04   4.65661E+04   3.17643E+04   3.10272E+04   1.71077E+03   1.45147E+04   6.02513E-02   2.50057E+00  -2.80469E+00   4.97782E+05   5.70456E+05   2.86413E+04   5.18326E+01   1.17178E+01
  1.19941E-01   8.90111E+18   5.40692E-01   5.64792E-01   3.61714E+05   5.10353E+04   3.10678E+05   7.25344E+03   4.37819E+04   2.91139E+04   2.19215E+04   8.57226E+02   6.39622E+03   6.98293E-02   2.49512E+00  -2.78913E+00   2.28817E+05   2.60994E+05   1.30196E+04   5.04118E+01   1.09769E+01
  1.37229E-01   3.41100E+18   5.58648E-01   6.41654E-01   3.44428E+05   3.99410E+04   3.04487E+05   2.82510E+03   3.71159E+04   2.42491E+04   1.56919E+04   2.94654E+02   2.53044E+03   7.98641E-02   2.48941E+00  -2.77281E+00   1.07388E+05   1.21898E+05   6.03790E+03   4.91486E+01   1.03084E+01
  1.58814E-01   1.06847E+18   5.72047E-01   7.82592E-01   3.64258E+05   3.49380E+04   3.29320E+05   7.40345E+02   3.41976E+04   2.21977E+04   1.27402E+04   1.26748E+02   6.13596E+02   9.03239E-02   2.48899E+00  -2.75196E+00   5.10546E+04   5.75388E+04   2.04854E+03   4.78377E+01   9.55826E+00
  2.09307E-01   2.60391E+17   7.92239E-01   1.10477E+00   3.48217E+05   3.67387E+04   3.11478E+05   6.64703E+01   3.66722E+04   2.36702E+04   1.30685E+04   2.11005E+00   6.43602E+01   1.01194E-01   2.51473E+00  -2.70972E+00   2.52592E+04   2.79653E+04   3.47431E+02   4.59523E+01   8.23129E+00
  2.72903E-01   7.88593E+16   8.93663E-01   1.26397E+00   4.05744E+05   3.49309E+04   3.70813E+05   4.57743E+01   3.48851E+04   2.25286E+04   1.24023E+04   1.38564E+01   3.19179E+01   1.12452E-01   2.54853E+00  -2.65638E+00   9.75168E+03   1.05722E+04   1.96657E+02   4.38209E+01   6.61158E+00
  3.26156E-01   2.62319E+16   1.04816E+00   1.53459E+00   4.09915E+05   2.40573E+04   3.85858E+05   1.77679E+01   2.40395E+04   1.55212E+04   8.53604E+03   6.24636E+00   1.15215E+01   1.24072E-01   2.56826E+00  -2.60696E+00   5.03224E+03   5.37200E+03   9.66043E+01   4.19666E+01   5.30102E+00
  3.66298E-01   1.46111E+16   1.01334E+00   1.53653E+00   2.98651E+05   1.60826E+04   2.82568E+05   2.14700E+01   1.60612E+04   1.03729E+04   5.70970E+03   7.13609E+00   1.43339E+01   1.36032E-01   2.57203E+00  -2.56959E+00   1.31317E+03   1.38888E+03   5.47467E+01   4.06774E+01   4.46413E+00
  3.91999E-01   5.89659E+15   1.08133E+00   1.46510E+00   2.96735E+05   1.64334E+04   2.80301E+05   8.70505E+00   1.64247E+04   1.06033E+04   5.83011E+03   2.85375E+00   5.85130E+00   1.48307E-01   2.56117E+00  -2.54630E+00   4.99311E+02   5.26183E+02   2.07340E+01   3.98787E+01   4.14093E+00
  4.18113E-01   2.46082E+15   1.13745E+00   1.47159E+00   2.76272E+05   6.28817E+03   2.69984E+05   3.60108E+00   6.28457E+03   4.05706E+03   2.23111E+03   1.02490E+00   2.57618E+00   1.60879E-01   2.55012E+00  -2.52263E+00   1.87457E+02   1.96837E+02   7.76790E+00   3.91645E+01   3.85268E+00
