# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-06-16  13:48 jjl     template, 5.2 switches
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
  7.29937E-02   1.14850E+20   4.13674E-01   4.09875E-01   4.52540E+05   2.76454E+05   1.76086E+05   7.53424E+04   2.01112E+05   1.45784E+05   1.30670E+05   6.19534E+03   6.91470E+04   4.25356E-02   2.51072E+00  -2.83341E+00   4.79427E+06   5.47921E+06   2.78303E+05   5.51677E+01   1.34500E+01
  8.77923E-02   6.66224E+19   3.53105E-01   3.51734E-01   3.32963E+05   1.87661E+05   1.45302E+05   3.83665E+04   1.49294E+05   1.05448E+05   8.22131E+04   1.82483E+03   3.65416E+04   5.11484E-02   2.50578E+00  -2.81946E+00   2.03762E+06   2.31336E+06   1.16861E+05   5.34280E+01   1.25380E+01
  1.03450E-01   3.82912E+19   3.10367E-01   3.09286E-01   2.33606E+05   1.09624E+05   1.23983E+05   2.08658E+04   8.87578E+04   6.27717E+04   4.68519E+04   1.16629E+03   1.96996E+04   6.02513E-02   2.50057E+00  -2.80469E+00   9.15795E+05   1.03316E+06   5.18968E+04   5.18326E+01   1.17178E+01
  1.19941E-01   2.16071E+19   2.62919E-01   2.61443E-01   1.73088E+05   6.51389E+04   1.07949E+05   1.09523E+04   5.41866E+04   3.82406E+04   2.68982E+04   6.30567E+02   1.03217E+04   6.98293E-02   2.49512E+00  -2.78913E+00   5.03986E+05   5.65112E+05   2.82025E+04   5.04118E+01   1.09769E+01
  1.37229E-01   1.07455E+19   2.30415E-01   2.21969E-01   1.46231E+05   5.08086E+04   9.54219E+04   5.18626E+03   4.56223E+04   3.20644E+04   1.87442E+04   3.98665E+02   4.78759E+03   7.98641E-02   2.48941E+00  -2.77281E+00   2.75883E+05   3.07524E+05   1.52383E+04   4.91486E+01   1.03084E+01
  1.58814E-01   4.86248E+18   2.04463E-01   2.01778E-01   1.81757E+05   4.22813E+04   1.39476E+05   1.52761E+03   4.07537E+04   2.83326E+04   1.39486E+04   4.61381E+01   1.48148E+03   9.03239E-02   2.48899E+00  -2.75196E+00   1.13905E+05   1.25970E+05   4.48645E+03   4.78377E+01   9.55826E+00
  2.09307E-01   3.56305E+18   2.32767E-01   2.40440E-01   1.76292E+05   4.02449E+04   1.36047E+05   4.16246E+02   3.98287E+04   2.76642E+04   1.25807E+04   1.97414E+01   3.96505E+02   1.01194E-01   2.51473E+00  -2.70972E+00   6.74474E+04   7.32536E+04   9.10366E+02   4.59523E+01   8.23129E+00
  2.72903E-01   2.95743E+18   3.42525E-01   3.65476E-01   1.27863E+05   2.81522E+04   9.97108E+04   7.30102E+02   2.74221E+04   1.91242E+04   9.02798E+03   9.09447E+01   6.39158E+02   1.12452E-01   2.54853E+00  -2.65638E+00   4.80815E+04   5.11395E+04   9.51545E+02   4.38209E+01   6.61158E+00
  3.26156E-01   1.08351E+18   3.94463E-01   4.52299E-01   1.03349E+05   2.32795E+04   8.00690E+04   2.91771E+02   2.29877E+04   1.59857E+04   7.29381E+03   3.02639E+01   2.61507E+02   1.24072E-01   2.56826E+00  -2.60696E+00   1.48000E+04   1.55049E+04   2.78897E+02   4.19666E+01   5.30102E+00
  3.66298E-01   6.59268E+17   5.68336E-01   7.80452E-01   5.44751E+04   1.54179E+04   3.90572E+04   5.79570E+02   1.48383E+04   1.04309E+04   4.98698E+03   1.31858E+02   4.47712E+02   1.36032E-01   2.57203E+00  -2.56959E+00   1.21102E+04   1.25764E+04   4.95853E+02   4.06774E+01   4.46413E+00
  3.91999E-01   3.30345E+17   6.14147E-01   9.03841E-01   5.13125E+04   1.07610E+04   4.05515E+04   1.69835E+02   1.05912E+04   7.28457E+03   3.47646E+03  -6.66187E+01   2.36454E+02   1.48307E-01   2.56117E+00  -2.54630E+00   7.48380E+03   7.74904E+03   3.05413E+02   3.98787E+01   4.14093E+00
  4.18113E-01   8.37983E+16   6.16539E-01   8.60230E-01   5.30748E+04   1.39088E+04   3.91660E+04   4.14937E+01   1.38673E+04   9.60739E+03   4.30143E+03  -1.77100E+01   5.92037E+01   1.60879E-01   2.55012E+00  -2.52263E+00   3.83309E+03   3.95818E+03   1.56234E+02   3.91645E+01   3.85268E+00
