R_m Z_m Te_eV Ti_eV O1+_sput O2+_sput O3+_sput O4+_sput O5+_sput O6+_sput O7+_sput O8+_sput Total_sput
2.99934880e+00 -1.30109730e-01 7.32696935e+00 1.20073563e+01 9.77000254e+02 9.84040107e-122 4.99879809e+14 3.42066905e+15 3.37841461e+16 1.41324378e+18 4.69169377e+17 2.61324296e+17 2.18144215e+18
3.00092140e+00 -1.20180470e-01 7.32401571e+00 1.19823681e+01 1.39392306e+04 5.23323405e-124 4.21484698e+14 2.94741421e+15 2.92518764e+16 1.27230489e+18 4.02697928e+17 2.18360612e+17 1.92598421e+18
3.00236910e+00 -1.10232230e-01 7.32671361e+00 1.19814202e+01 6.99677035e+03 8.36183695e-124 4.02941869e+14 2.83447356e+15 2.81355032e+16 1.23832812e+18 3.85899567e+17 2.07387253e+17 1.86298786e+18
3.00369180e+00 -1.00266590e-01 7.33405561e+00 1.19934458e+01 3.77560304e+02 4.31052471e-122 4.07172931e+14 2.85851705e+15 2.83024377e+16 1.24513074e+18 3.87551017e+17 2.08219737e+17 1.87246962e+18
3.00488900e+00 -9.02851080e-02 7.33859846e+00 1.20008867e+01 6.20110554e+01 4.94273180e-121 4.09812904e+14 2.87349448e+15 2.84062093e+16 1.24935790e+18 3.88576188e+17 2.08736401e+17 1.87836001e+18
3.00596080e+00 -8.02893720e-02 7.34588962e+00 1.20128290e+01 3.41458482e+00 2.47934488e-119 4.14085489e+14 2.89769478e+15 2.85735331e+16 1.25617141e+18 3.90226920e+17 2.09568147e+17 1.88785179e+18
3.00690690e+00 -7.02809570e-02 9.19879844e+00 1.37166377e+01 3.36624003e-272 3.51315883e+11 1.43872367e+14 9.96106274e+14 8.37172922e+15 3.22754312e+17 7.76154621e+16 3.59992116e+16 4.45881044e+17
3.00772710e+00 -6.02614440e-02 1.11507379e+01 1.55139159e+01 7.14344704e-12 5.39422136e+14 4.72993326e+15 1.29775928e+16 7.91510623e+16 2.61401534e+18 7.07670632e+17 3.51480178e+17 3.77056416e+18
3.00842140e+00 -5.02324160e-02 1.11566383e+01 1.55171882e+01 1.27083251e-11 4.47490603e+14 4.09832086e+15 1.13065728e+16 6.97468442e+16 2.30880071e+18 6.25337393e+17 3.10701321e+17 3.33043865e+18
3.00898960e+00 -4.01954550e-02 1.11682818e+01 1.55282796e+01 8.95015434e-10 3.44793841e+14 3.39168336e+15 9.43948097e+15 5.91698411e+16 1.96483446e+18 5.32457005e+17 2.64668059e+17 2.83430533e+18
3.00943160e+00 -3.01521460e-02 1.11589793e+01 1.55099651e+01 3.90078236e-11 1.86534019e+14 2.28745896e+15 6.57507928e+15 4.26608783e+16 1.42845510e+18 3.87762970e+17 1.93001020e+17 2.06092904e+18
3.00974740e+00 -2.01040760e-02 1.11174440e+01 1.54503201e+01 5.30515234e-18 1.39909135e+14 1.92286371e+15 5.64581608e+15 3.72071353e+16 1.25241119e+18 3.40595218e+17 1.69740097e+17 1.80766222e+18
3.00993680e+00 -1.00528320e-02 1.10831100e+01 1.54006274e+01 1.06915111e-23 9.61008499e+13 1.57128993e+15 4.73746419e+15 3.18223109e+16 1.07737336e+18 2.93534869e+17 1.46478724e+17 1.55561412e+18
3.01000000e+00 0.00000000e+00 1.10559696e+01 1.53608767e+01 3.18233360e-28 5.42119207e+13 1.22876070e+15 3.84268226e+15 2.64744888e+16 9.02522966e+17 2.46388964e+17 1.23130311e+17 1.30364238e+18
3.00993680e+00 1.00528320e-02 1.10562803e+01 1.53576063e+01 2.25984519e-28 8.04936781e+10 7.18746864e+14 2.48132349e+15 1.79167755e+16 6.16686667e+17 1.68926144e+17 8.46061075e+16 8.91335845e+17
3.00974740e+00 2.01040760e-02 1.10651436e+01 1.53658655e+01 3.71973148e-27 5.62506216e+13 1.82202003e+14 1.04535834e+15 8.82183212e+15 3.12245260e+17 8.63863248e+16 4.35404951e+16 4.52277723e+17
3.00943160e+00 3.01521460e-02 1.10667919e+01 1.53634320e+01 3.76745447e-27 9.90310322e+13 3.02491659e+14 2.88350291e+14 4.24893218e+12 1.47037663e+16 5.64731103e+15 3.32589679e+15 2.43710960e+16
3.00898960e+00 4.01954550e-02 1.10712453e+01 1.53646808e+01 9.90483845e-27 1.39880213e+14 7.79492625e+14 1.61566995e+15 8.88774861e+15 2.85219301e+17 7.57604405e+16 3.72364126e+16 4.09638946e+17
3.00842140e+00 5.02324160e-02 1.10713993e+01 1.53595929e+01 4.04648260e-27 1.72612025e+14 1.21359398e+15 2.86904037e+15 1.75545425e+16 5.79198286e+17 1.55639715e+17 7.70831318e+16 8.33730921e+17
3.00772710e+00 6.02614440e-02 1.10715993e+01 1.53543019e+01 9.27561059e-28 2.02531784e+14 1.62867407e+15 4.09763296e+15 2.61617739e+16 8.71767372e+17 2.35173643e+17 1.16781233e+17 1.25581286e+18
3.00690690e+00 7.02809570e-02 1.10703856e+01 1.53467510e+01 3.36967132e-28 2.28593238e+14 2.01714596e+15 5.28722892e+15 3.46399893e+16 1.16079394e+18 3.13802718e+17 1.56060448e+17 1.67283006e+18
3.00596080e+00 8.02893720e-02 1.10616941e+01 1.53285739e+01 1.96962689e-29 2.53718908e+14 2.37487277e+15 6.42188209e+15 4.28020500e+16 1.44061141e+18 3.90007728e+17 1.94174989e+17 2.07664665e+18
3.00488900e+00 9.02851080e-02 1.10589113e+01 1.53182872e+01 6.02537494e-30 2.81359705e+14 2.73527151e+15 7.57612275e+15 5.11000876e+16 1.72528519e+18 4.67487771e+17 2.32924352e+17 2.48739016e+18
3.00369180e+00 1.00266590e-01 1.10927057e+01 1.53591147e+01 1.44404817e-24 3.26923759e+14 3.12825183e+15 8.75851799e+15 5.92171928e+16 1.99840073e+18 5.41241683e+17 2.69632107e+17 2.88070540e+18
3.00236910e+00 1.10232230e-01 1.11433150e+01 1.54233135e+01 1.80532254e-16 3.84044174e+14 3.56285244e+15 1.00219461e+16 6.76730254e+16 2.27929356e+18 6.16667554e+17 3.07034609e+17 3.28463759e+18
3.00092140e+00 1.20180470e-01 1.11560568e+01 1.54322625e+01 6.64466904e-15 4.62968440e+14 4.07768649e+15 1.15660879e+16 7.80737075e+16 2.62932016e+18 7.11427564e+17 3.54298033e+17 3.78922621e+18
2.99934880e+00 1.30109730e-01 1.11411834e+01 1.54021953e+01 6.10986008e-18 5.48024162e+14 4.58898755e+15 1.31252776e+16 8.85882975e+16 2.98784589e+18 8.09012402e+17 4.03163399e+17 4.30687228e+18
2.99765150e+00 1.40018450e-01 1.11285668e+01 1.53785180e+01 1.87933956e-19 6.19560296e+14 4.99219408e+15 1.43127622e+16 9.63544659e+16 3.25530599e+18 8.81667806e+17 4.39529492e+17 4.69278227e+18
2.99582980e+00 1.49905050e-01 1.03119425e+01 1.46028243e+01 2.69767187e-139 2.18223708e+14 2.17332690e+15 6.88981497e+15 4.93865644e+16 1.71785102e+18 4.82234955e+17 2.45098718e+17 2.50385262e+18
2.99388400e+00 1.59767980e-01 8.19795037e+00 1.26120315e+01 4.08941526e-118 2.68906382e+11 3.98787462e+14 2.07109729e+15 1.83860875e+16 7.97181280e+17 2.28691103e+17 1.17520034e+17 1.16424866e+18
2.99181450e+00 1.69605690e-01 7.10605833e+00 1.15818583e+01 4.87475763e-20 5.04021045e-178 1.35817710e+14 2.15775732e+15 2.34406118e+16 1.12485066e+18 3.57965971e+17 1.98974641e+17 1.70752546e+18
2.98962150e+00 1.79416610e-01 7.10011050e+00 1.15721483e+01 4.58438308e-21 2.07838260e-179 1.31050590e+14 2.14301540e+15 2.33015532e+16 1.11985047e+18 3.56499995e+17 1.98326033e+17 1.70025211e+18
2.98730540e+00 1.89199200e-01 7.09107339e+00 1.15573949e+01 1.26287337e-22 1.63599780e-181 1.24125623e+14 2.12080666e+15 2.30918152e+16 1.11229420e+18 3.54283602e+17 1.97344321e+17 1.68925887e+18
2.98486650e+00 1.98951910e-01 7.08442147e+00 1.15465355e+01 8.97744982e-24 4.62530039e-183 1.19263144e+14 2.10460430e+15 2.29386166e+16 1.10676372e+18 3.52660627e+17 1.96624614e+17 1.68121145e+18
2.98230530e+00 2.08673210e-01 7.07402168e+00 1.15409502e+01 4.64283336e-25 1.42625932e-184 1.27850123e+14 2.28113034e+15 2.47756461e+16 1.17674473e+18 3.87404492e+17 2.20743520e+17 1.81207737e+18
2.97962210e+00 2.18361550e-01 7.07821967e+00 1.15650119e+01 1.36462011e-23 3.10103358e-182 1.57032099e+14 2.60155524e+15 2.80576597e+16 1.30035045e+18 4.45353767e+17 2.59647780e+17 2.03616824e+18
2.97681740e+00 2.28015410e-01 7.10944515e+00 1.16234330e+01 5.90634200e-18 1.93961986e-174 1.80409941e+14 2.52510661e+15 2.70815676e+16 1.26468606e+18 4.29784488e+17 2.49531382e+17 1.97378901e+18
2.97389160e+00 2.37633270e-01 7.15765324e+00 1.17067749e+01 1.53877240e-09 6.18862130e-163 2.11529878e+14 2.32677582e+15 2.47925480e+16 1.18189174e+18 3.91710697e+17 2.24330427e+17 1.82526371e+18
2.97084520e+00 2.47213600e-01 6.14274441e+00 1.04770985e+01 6.70470085e-169 2.09917681e-198 1.02314585e+12 5.34880809e+14 8.17346387e+15 4.72847359e+17 1.69972977e+17 1.05832138e+17 7.57361841e+17
2.96767860e+00 2.56754890e-01 4.71597823e+00 8.73822429e+00 6.13057371e-175 1.76009719e-67 6.66307946e-235 1.81147668e-06 7.33032310e+14 6.64763662e+16 3.04585291e+16 2.23319583e+16 1.19999886e+17
2.96439240e+00 2.66255640e-01 4.70408234e+00 8.71612698e+00 8.39990819e-173 1.85778185e-70 4.17913895e-231 4.44026999e-11 7.14010783e+14 6.51341826e+16 2.99393872e+16 2.19941977e+16 1.17781778e+17
2.96098710e+00 2.75714340e-01 4.68216676e+00 8.67547773e+00 7.22012662e-169 6.16325631e-76 4.07583539e-224 1.45294884e-19 6.56817257e+14 6.27282964e+16 2.90041309e+16 2.13837828e+16 1.13773027e+17
2.95746320e+00 2.85129500e-01 4.66706854e+00 8.64744587e+00 3.71530259e-166 1.03042507e-79 2.68100212e-219 2.05362872e-25 5.70430408e+14 6.11231079e+16 2.83771177e+16 2.09733609e+16 1.11044017e+17
2.95382120e+00 2.94499640e-01 4.65959438e+00 8.63482642e+00 7.90633098e-165 1.79043081e-81 4.80962133e-217 4.07037228e-28 5.42068867e+14 6.10688984e+16 2.86392363e+16 2.13384058e+16 1.11588609e+17
2.95006180e+00 3.03823280e-01 4.67155021e+00 8.66502194e+00 4.14405149e-167 8.48852872e-78 1.06474396e-221 2.93212635e-22 6.79996520e+14 6.70593299e+16 3.28201814e+16 2.53257631e+16 1.25885271e+17
2.94618550e+00 3.13098930e-01 4.73965119e+00 8.79231787e+00 2.33062385e-179 1.08423112e-60 1.59880549e-243 9.61730323e+04 8.66454127e+14 7.58509416e+16 3.65822624e+16 2.79944970e+16 1.41294155e+17
2.94219290e+00 3.22325150e-01 3.86955705e+00 7.68968053e+00 3.15381164e-42 2.61328533e-240 2.50785639e-23 8.17233914e-257 1.81013891e+12 1.08039945e+16 7.57709604e+15 7.03433222e+15 2.54172329e+16
2.93808480e+00 3.31500460e-01 3.11062445e+00 6.71394682e+00 9.97521084e+05 1.82959870e-170 6.51812396e-148 5.43762089e-80 8.89247129e-237 1.17650170e+13 3.32548876e+14 7.83849245e+14 1.12816314e+15
